id,familyKey,familyName,name,familyNameAr,nameAr,DozenPrice,pcsPerCarton,cartonPrice,imageFile,imageExists,badge,badgeAr,enabled,varianttype,varianttypeAr,rowType,sortOrder,printed
52,kokoSghyr,,koko Sghyr Two-Tone Colors,,كوكو صغير 2 لون,22,180,3960,koko Sghyr Two-Tone Colors.jpg,TRUE,,,1,,,,,FALSE
family-kokoKbyr,kokoKbyr,koko Kbyr Combs,,أمشاط كوكو كبير,,,,,,FALSE,,,1,,,parent,12,FALSE
53,kokoKbyr,,koko Kbyr Fluorescent,,كوكو كبير فسفورى,45,120,5400,koko Kbyr Fluorescent.jpg,TRUE,,,1,,,,,FALSE
54,kokoKbyr,,koko Kbyr Colors,,كوكو كبير الوان,30,120,3600,koko Kbyr Colors.jpg,TRUE,,,1,,,,,FALSE
family-TaqmkokoSghyr,TaqmkokoSghyr,Taqm koko Sghyr Combs,,أطقم كوكو صغير,,,,,,FALSE,,,1,,,parent,13,FALSE
55,TaqmkokoSghyr,,Taqm koko Sghyr Black Printed,,طقم كوكو صغير اسود مطبوع,55,40,2200,Taqm koko Sghyr Black Printed.jpg,TRUE,,,1,,,,,TRUE
56,TaqmkokoSghyr,,Taqm koko Sghyr Fluorescent Printed,,طقم كوكو صغير فسفورى مطبوع,55,40,2200,Taqm koko Sghyr Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
57,TaqmkokoSghyr,,Taqm koko Sghyr Aag Printed,,طقم كوكو صغير عاج مطبوع,55,40,2200,Taqm koko Sghyr Aag Printed.jpg,TRUE,,,1,,,,,TRUE
58,TaqmkokoSghyr,,Taqm koko Sghyr Glass Colors Printed,,طقم كوكو صغير زجاج الوان مطبوع,80,40,3200,Taqm koko Sghyr Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
59,TaqmkokoSghyr,,Taqm koko Sghyr Glass Honey Printed,,طقم كوكو صغير زجاج عسلى مطبوع,80,40,3200,Taqm koko Sghyr Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
60,TaqmkokoSghyr,,Taqm koko Sghyr Two-Tone Colors Printed,,طقم كوكو صغير 2 لون مطبوع,60,40,2400,Taqm koko Sghyr Two-Tone Colors Printed.jpg,TRUE,,,1,,,,,TRUE
family-TaqmkokoKbyr,TaqmkokoKbyr,Taqm koko Kbyr Combs,,أطقم كوكو كبير,,,,,,FALSE,,,1,,,parent,14,FALSE
61,TaqmkokoKbyr,,Taqm koko Kbyr Glass Printed,,طقم كوكو كبير زجاج مطبوع,110,40,4400,Taqm koko Kbyr Glass Printed.jpg,TRUE,,,1,,,,,TRUE
